words,person,entertain,disease,singers,books,politician,athletes,actor_m,actor_f
국정감사,,,,남궁연,,안병길,문왕식,지태양,지주연
얄랴셩,,,,남동현 (가수),,양경숙,민병헌,차보성,신보라
김태용,,,,남백송,,양금희,박건우 (1985년),김동건 (배우),노현정 (영화 배우)
임대인,,,,남석훈 (배우),,양기대,박경용,장선율,정혜윤
임베디드,,,,남인수,,양이원영,박경진 (1976년),김준 (배우),구혜진
장보고,,,,남일이,,양정숙,박계원,문태유,김우린
하우스,,,,남일해,,양향자,박근홍 (야구 선수),백원길,한이서
카이스트,,,,남진아,,엄태영,박기혁,권오현 (배우),최아라 (모델)
깡패,,,,남태현,,오기형,박덕용,기태영,이시아
신당,,,,노루 (가수),,오영환,박동수 (야구인),윤혁진,최라진
콩나물,,,,노민우,,유경준,박동희 (야구인),서경수,김영임 (1961년)
박병호,,,,노승호,,유기홍,박명현,윤형빈,윤익희
우크라이나,,,,노승환 (가수),,유상범,박보현,오만석 (1974년),윤아름
유시민,,,,노아 (가수),,유정주,박석진,강현욱 (배우),남윤서
함성호,,,,노영국,,윤두현,박선우 (야구 선수),편보승,장다경
천둥,,,,노유민,,윤영덕,박성민 (1998년),박희순,서은우
한솔,,,,노지훈,,윤영찬,박세웅 (1995년),리우진,서경화
스승의날,,,,노태현,,윤재갑,박승욱 (야구 선수),백재우,박혜수
한끼줍쇼,,,,노형돈,,윤주경,박시영 (야구 선수),송훈 (배우),이채경
롯데,,,,니브 (가수),,윤준병,박연수 (야구 선수),황인준 (1977년),유은지
비앙카,,,,다빈크,,윤창현,박영태 (야구인),이기철 (배우),고두심
덩케르크,,,,다원 (남자 가수),,윤희숙,박용성 (야구 선수),준호,이연선
부천시청,,,,달빛요정역전만루홈런,,이광재,박재민 (2001년),장의수,홍지영 (배우)
문어초회,,,,대성 (가수),,이규민,박정준 (1984년),신재범 (배우),박효주
골든,,,,대원 (가수),,이달곤,박정태,권혁 (배우),조혜영
열병식,,,,대현 (가수),,이동주,박종윤 (1982년),김병춘,윤사봉
